"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3843","Edit course","LMS system","Fri Jun 19 17:09:41 UTC 2026","passed","Fri Jun 19 17:09:45 UTC 2026","Courses","Courses","",""
"","0","test_password_reset","tests.pytest","Fri Jun 19 17:09:44 UTC 2026","passed","Fri Jun 19 17:09:44 UTC 2026","TestUserAuthentication","test_marks","",""
"","4131","User login with wrong email or password","LMS system","Fri Jun 19 17:09:29 UTC 2026","passed","Fri Jun 19 17:09:33 UTC 2026","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","Fri Jun 19 17:09:44 UTC 2026","passed","Fri Jun 19 17:09:44 UTC 2026","TestUserAuthentication","test_marks","",""
"","1480","Navigation from login page to registration page","LMS system","Fri Jun 19 17:09:35 UTC 2026","passed","Fri Jun 19 17:09:36 UTC 2026","Authorization","Authentication","",""
"","3066","Create course","LMS system","Fri Jun 19 17:09:40 UTC 2026","passed","Fri Jun 19 17:09:43 UTC 2026","Courses","Courses","",""
"","1582","Check displaying of dashboard page","LMS system","Fri Jun 19 17:09:46 UTC 2026","passed","Fri Jun 19 17:09:48 UTC 2026","Dashboard","Dashboard","",""
"","1659","User login with wrong email or password","LMS system","Fri Jun 19 17:09:29 UTC 2026","passed","Fri Jun 19 17:09:31 UTC 2026","Authorization","Authentication","",""
"","0","test_login","tests.pytest","Fri Jun 19 17:09:44 UTC 2026","passed","Fri Jun 19 17:09:44 UTC 2026","TestUserAuthentication","test_marks","",""
"","2779","User login with wrong email or password","LMS system","Fri Jun 19 17:09:34 UTC 2026","passed","Fri Jun 19 17:09:37 UTC 2026","Authorization","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","Fri Jun 19 17:09:44 UTC 2026","passed","Fri Jun 19 17:09:44 UTC 2026","TestUserInterface","test_marks","",""
"","1380","Check displaying of empty courses list","LMS system","Fri Jun 19 17:09:38 UTC 2026","passed","Fri Jun 19 17:09:40 UTC 2026","Courses","Courses","",""
"","1924","Registration with correct email, username and password","LMS system","Fri Jun 19 17:09:37 UTC 2026","passed","Fri Jun 19 17:09:39 UTC 2026","Registration","Authentication","",""
"","3259","User login with correct email and password","LMS system","Fri Jun 19 17:09:31 UTC 2026","passed","Fri Jun 19 17:09:34 UTC 2026","Authorization","Authentication","",""
