"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1937","User login with wrong email or password","LMS system","Wed Jun 24 16:57:47 UTC 2026","passed","Wed Jun 24 16:57:49 UTC 2026","Authorization","Authentication","",""
"","1935","Check displaying of dashboard page","LMS system","Wed Jun 24 16:58:02 UTC 2026","passed","Wed Jun 24 16:58:04 UTC 2026","Dashboard","Dashboard","",""
"","1747","Navigation from login page to registration page","LMS system","Wed Jun 24 16:57:52 UTC 2026","passed","Wed Jun 24 16:57:54 UTC 2026","Authorization","Authentication","",""
"","2122","Registration with correct email, username and password","LMS system","Wed Jun 24 16:57:53 UTC 2026","passed","Wed Jun 24 16:57:55 UTC 2026","Registration","Authentication","",""
"","1735","Check displaying of empty courses list","LMS system","Wed Jun 24 16:57:56 UTC 2026","passed","Wed Jun 24 16:57:58 UTC 2026","Courses","Courses","",""
"","1923","User login with wrong email or password","LMS system","Wed Jun 24 16:57:47 UTC 2026","passed","Wed Jun 24 16:57:49 UTC 2026","Authorization","Authentication","",""
"","3760","Create course","LMS system","Wed Jun 24 16:57:57 UTC 2026","passed","Wed Jun 24 16:58:01 UTC 2026","Courses","Courses","",""
"","3171","User login with correct email and password","LMS system","Wed Jun 24 16:57:50 UTC 2026","passed","Wed Jun 24 16:57:53 UTC 2026","Authorization","Authentication","",""
"","5035","Edit course","LMS system","Wed Jun 24 16:57:58 UTC 2026","passed","Wed Jun 24 16:58:03 UTC 2026","Courses","Courses","",""
"","1708","User login with wrong email or password","LMS system","Wed Jun 24 16:57:50 UTC 2026","passed","Wed Jun 24 16:57:51 UTC 2026","Authorization","Authentication","",""
