"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3523","User login with correct email and password","LMS system","Fri Jun 19 15:49:58 UTC 2026","passed","Fri Jun 19 15:50:01 UTC 2026","Authorization","Authentication","",""
"","3178","Create course","LMS system","Fri Jun 19 15:50:05 UTC 2026","passed","Fri Jun 19 15:50:08 UTC 2026","Courses","Courses","",""
"","2082","User login with wrong email or password","LMS system","Fri Jun 19 15:49:55 UTC 2026","passed","Fri Jun 19 15:49:57 UTC 2026","Authorization","Authentication","",""
"","4263","Edit course","LMS system","Fri Jun 19 15:50:06 UTC 2026","passed","Fri Jun 19 15:50:10 UTC 2026","Courses","Courses","",""
"","2051","User login with wrong email or password","LMS system","Fri Jun 19 15:49:58 UTC 2026","passed","Fri Jun 19 15:50:00 UTC 2026","Authorization","Authentication","",""
"","1614","Check displaying of empty courses list","LMS system","Fri Jun 19 15:50:04 UTC 2026","passed","Fri Jun 19 15:50:05 UTC 2026","Courses","Courses","",""
"","2149","User login with wrong email or password","LMS system","Fri Jun 19 15:49:55 UTC 2026","passed","Fri Jun 19 15:49:57 UTC 2026","Authorization","Authentication","",""
"","0","test_login","tests.pytest","Fri Jun 19 15:50:11 UTC 2026","passed","Fri Jun 19 15:50:11 UTC 2026","TestUserAuthentication","test_marks","",""
"","0","test_forgot_password_link","tests.pytest","Fri Jun 19 15:50:11 UTC 2026","passed","Fri Jun 19 15:50:11 UTC 2026","TestUserInterface","test_marks","",""
"","2150","Check displaying of dashboard page","LMS system","Fri Jun 19 15:50:09 UTC 2026","passed","Fri Jun 19 15:50:11 UTC 2026","Dashboard","Dashboard","",""
"","1","test_password_reset","tests.pytest","Fri Jun 19 15:50:11 UTC 2026","passed","Fri Jun 19 15:50:11 UTC 2026","TestUserAuthentication","test_marks","",""
"","1724","Navigation from login page to registration page","LMS system","Fri Jun 19 15:50:00 UTC 2026","passed","Fri Jun 19 15:50:02 UTC 2026","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","Fri Jun 19 15:50:11 UTC 2026","passed","Fri Jun 19 15:50:11 UTC 2026","TestUserAuthentication","test_marks","",""
"","1717","Registration with correct email, username and password","LMS system","Fri Jun 19 15:50:02 UTC 2026","passed","Fri Jun 19 15:50:03 UTC 2026","Registration","Authentication","",""
