"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1504","Navigation from login page to registration page","LMS system","2026-06-09","passed","2026-06-09","Authorization","Authentication","",""
"","1997","Registration with correct email, username and password","LMS system","2026-06-09","passed","2026-06-09","Registration","Authentication","",""
"","1","test_forgot_password_link","tests.pytest","2026-06-09","passed","2026-06-09","TestUserInterface","test_marks","",""
"","1543","Check displaying of empty courses list","LMS system","2026-06-09","passed","2026-06-09","Courses","Courses","",""
"","1954","User login with wrong email or password","LMS system","2026-06-09","passed","2026-06-09","Authorization","Authentication","",""
"","0","test_logout","tests.pytest","2026-06-09","passed","2026-06-09","TestUserAuthentication","test_marks","",""
"","1723","User login with wrong email or password","LMS system","2026-06-09","passed","2026-06-09","Authorization","Authentication","",""
"","3048","User login with correct email and password","LMS system","2026-06-09","passed","2026-06-09","Authorization","Authentication","",""
"","1","test_password_reset","tests.pytest","2026-06-09","passed","2026-06-09","TestUserAuthentication","test_marks","",""
"","2829","Create course","LMS system","2026-06-09","passed","2026-06-09","Courses","Courses","",""
"","1957","Check displaying of dashboard page","LMS system","2026-06-09","passed","2026-06-09","Dashboard","Dashboard","",""
"","1991","User login with wrong email or password","LMS system","2026-06-09","passed","2026-06-09","Authorization","Authentication","",""
"","4274","Edit course","LMS system","2026-06-09","passed","2026-06-09","Courses","Courses","",""
"","0","test_login","tests.pytest","2026-06-09","passed","2026-06-09","TestUserAuthentication","test_marks","",""
