"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1549","Check displaying of empty courses list","LMS system","Wed Jun 24 17:19:52 UTC 2026","passed","Wed Jun 24 17:19:53 UTC 2026","Courses","Courses","",""
"","1712","User login with wrong email or password","LMS system","Wed Jun 24 17:19:46 UTC 2026","passed","Wed Jun 24 17:19:48 UTC 2026","Authorization","Authentication","",""
"","3119","Create course","LMS system","Wed Jun 24 17:19:53 UTC 2026","passed","Wed Jun 24 17:19:56 UTC 2026","Courses","Courses","",""
"","1917","User login with wrong email or password","LMS system","Wed Jun 24 17:19:44 UTC 2026","passed","Wed Jun 24 17:19:46 UTC 2026","Authorization","Authentication","",""
"","3165","User login with correct email and password","LMS system","Wed Jun 24 17:19:46 UTC 2026","passed","Wed Jun 24 17:19:49 UTC 2026","Authorization","Authentication","",""
"","1847","User login with wrong email or password","LMS system","Wed Jun 24 17:19:44 UTC 2026","passed","Wed Jun 24 17:19:46 UTC 2026","Authorization","Authentication","",""
"","4572","Edit course","LMS system","Wed Jun 24 17:19:53 UTC 2026","passed","Wed Jun 24 17:19:58 UTC 2026","Courses","Courses","",""
"","1703","Registration with correct email, username and password","LMS system","Wed Jun 24 17:19:50 UTC 2026","passed","Wed Jun 24 17:19:51 UTC 2026","Registration","Authentication","",""
"","1688","Navigation from login page to registration page","LMS system","Wed Jun 24 17:19:48 UTC 2026","passed","Wed Jun 24 17:19:50 UTC 2026","Authorization","Authentication","",""
"","1930","Check displaying of dashboard page","LMS system","Wed Jun 24 17:19:57 UTC 2026","passed","Wed Jun 24 17:19:59 UTC 2026","Dashboard","Dashboard","",""
